"filename", "language", "TypeScript", "JSON", "JavaScript", "JSON with Comments", "Markdown", "MS SQL", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 29, 74
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\components.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\eslint.config.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\package-lock.json", "JSON", 0, 9401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9402
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\package.json", "JSON", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 94
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\postcss.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\public\placeholder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 7, 13, 101
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\auth\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 7, 35
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\ChecklistTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 312, 0, 0, 11, 29, 352
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\ClassificationSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 1796, 0, 0, 61, 116, 1973
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\DocumentRequestsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 1, 16, 249
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\ExtendedTrialBalance.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 831, 0, 0, 47, 62, 940
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\LibraryTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 570, 0, 0, 28, 31, 629
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\OverviewTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 4, 7, 121
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\TrialBalanceTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 10, 33, 307
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\engagement\TrialBalanceUpload.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 281, 0, 0, 11, 39, 331
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\layout\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 2, 5, 31
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\layout\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 2, 6, 50
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\layout\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 15, 18, 198
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\procedures\ProcedureGeneration.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 5, 16, 196
"d:\Axtra Studios\Projects\Audit Portal\audit-portal\src\components\procedures\ProcedureView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 305, 0, 0, 13, 35, 353
